Country,City,Latitude,Longitude,index_x,Temperature,Humidity,Cloudiness,Wind Speed (mph)
us,indianapolis,39.7683333,-86.1580556,43449.0,78.44,83.0,40.0,684.6
pt,santiago do cacem,38.016935,-8.69475,31783.0,60.51,100.0,90.0,201.6
cn,linxia,35.600278,103.206389,6162.0,75.18,33.0,14.0,343.8
pt,ventosa,39.12696,-9.084235,31850.0,62.78,93.0,20.0,282.0
us,marlton,39.8911111,-74.9222222,44569.0,73.63,88.0,87.0,319.20000000000005
us,oxford,39.5069444,-84.7452778,45085.0,75.43,100.0,1.0,282.0
it,mazara del vallo,37.65,12.583333,20599.0,72.99,83.0,20.0,134.4
gr,nea kios,37.5833333,22.75,13988.0,77.0,54.0,0.0,240.0
am,mrgavan,39.9661111,44.5333333,322.0,86.0,40.0,6.0,201.6
us,foster city,37.5586111,-122.27,42321.0,60.76,77.0,1.0,415.79999999999995
es,bunol,39.416667,-0.783333,10730.0,73.58,83.0,20.0,415.79999999999995
us,calverton,39.2894444,-76.6605556,43744.0,72.25,78.0,40.0,327.6
us,arnold,39.0319444,-76.5030556,43737.0,73.9,78.0,40.0,355.79999999999995
us,olney,39.1530556,-77.0672222,43808.0,74.08,88.0,1.0,232.20000000000002
cn,zhoucun,36.816667,117.816667,6543.0,75.0,86.0,100.0,60.6
ir,qorveh,35.1664,47.8045,19961.0,85.89,19.0,11.0,609.6
gr,gargalianoi,37.0666667,21.6333333,13582.0,80.8,44.0,0.0,483.00000000000006
gr,nerokouros,35.4833333,24.0333333,14031.0,81.79,58.0,0.0,166.2
pt,pampilhosa,40.335801,-8.427381,31713.0,63.48,82.0,75.0,349.20000000000005
fr,frejus,43.432858,6.735237,11621.0,71.17,78.0,75.0,201.6
us,monmouth,40.9113889,-90.6472222,43323.0,79.99,78.0,40.0,684.6
ru,shaami-yurt,43.226323,45.392033,38076.0,84.51,45.0,0.0,134.4
us,franklin,42.0833333,-71.3972222,43889.0,69.06,100.0,1.0,201.6
us,bolingbrook,41.6986111,-88.0683333,43211.0,80.47,78.0,1.0,832.1999999999999
us,livingston,40.7958333,-74.3152778,44561.0,74.23,88.0,1.0,308.4
ro,bobicesti,44.383333,24.15,32347.0,63.16,93.0,89.0,201.6
tj,adrasmon,40.6486111,69.9855556,40343.0,89.6,27.0,20.0,1207.8
ro,afumati,44.516667,26.266667,32075.0,73.29,68.0,91.0,550.2
us,bar harbor,44.3875,-68.2044444,43666.0,64.94,93.0,1.0,249.60000000000002
us,freeport,43.8569444,-70.1036111,43684.0,67.42,94.0,20.0,107.4
ge,vale,41.6186111,42.8627778,13139.0,80.6,74.0,75.0,201.6
ru,belorechensk,44.767329,39.874236,35349.0,75.11,64.0,3.0,537.0
us,plattsburgh,44.6994444,-73.4533333,44827.0,67.64,73.0,1.0,403.8
bg,guljanci,43.6333333,24.7,1954.0,68.63,88.0,75.0,134.4
us,scranton,41.4088889,-75.6627778,45323.0,67.55,73.0,1.0,550.2
ro,rovinari,44.916667,23.183333,34056.0,64.35,86.0,96.0,88.8
us,kenmore,42.9658333,-78.8702778,44768.0,72.88,69.0,20.0,493.8
bg,belene,43.65,25.1166667,1908.0,68.92,88.0,75.0,134.4
gr,proti,40.95,24.0,14180.0,73.51,60.0,8.0,119.4
us,dobbs ferry,41.0144444,-73.8730556,44723.0,75.49,88.0,1.0,319.20000000000005
ro,valea calugareasca,44.966667,26.15,34622.0,73.38,64.0,98.0,617.4
gr,kimina,40.6147222,22.6911111,13761.0,75.56,73.0,28.0,201.6
us,lockport,41.5894444,-88.0577778,43308.0,80.42,78.0,1.0,832.1999999999999
